구분,계정과목,기수,연도,금액(백만원)
별도 손익계산서,"법인세비용(수익)",제 25 기,2024,-524
별도 손익계산서,"당기순이익(손실)",제 25 기,2024,10199
별도 손익계산서,"매출액",제 24 기,2023,234330
별도 손익계산서,"매출원가",제 24 기,2023,197286
별도 손익계산서,"매출총이익",제 24 기,2023,37044
별도 손익계산서,"판매비와관리비",제 24 기,2023,18222
별도 손익계산서,"영업이익(손실)",제 24 기,2023,18822
별도 손익계산서,"기타수익(비용)",제 24 기,2023,-1949
별도 손익계산서,"금융수익(비용)",제 24 기,2023,501
별도 손익계산서,"법인세차감전순이익(비용)",제 24 기,2023,17374
별도 손익계산서,"법인세비용(수익)",제 24 기,2023,2222
별도 손익계산서,"당기순이익(손실)",제 24 기,2023,15152
별도 손익계산서,"매출액",제 23 기,2022,78468
별도 손익계산서,"매출원가",제 23 기,2022,66298
별도 손익계산서,"매출총이익",제 23 기,2022,12170
별도 손익계산서,"판매비와관리비",제 23 기,2022,10282
별도 손익계산서,"영업이익(손실)",제 23 기,2022,1888
별도 손익계산서,"기타수익(비용)",제 23 기,2022,71
별도 손익계산서,"금융수익(비용)",제 23 기,2022,-714
별도 손익계산서,"법인세차감전순이익(비용)",제 23 기,2022,1245
별도 손익계산서,"법인세비용(수익)",제 23 기,2022,-883
별도 손익계산서,"당기순이익(손실)",제 23 기,2022,2128
별도 손익계산서,"매출액",제 22 기,2021,58836
별도 손익계산서,"매출원가",제 22 기,2021,52758
별도 손익계산서,"매출총이익",제 22 기,2021,6078
별도 손익계산서,"판매비와관리비",제 22 기,2021,8931
별도 손익계산서,"영업이익(손실)",제 22 기,2021,-2853
별도 손익계산서,"기타수익(비용)",제 22 기,2021,34
별도 손익계산서,"금융수익(비용)",제 22 기,2021,1027
별도 손익계산서,"법인세차감전순이익(비용)",제 22 기,2021,-1792
별도 손익계산서,"법인세비용(수익)",제 22 기,2021,-2151
별도 손익계산서,"당기순이익(손실)",제 22 기,2021,359
연결 손익계산서,"매출액",제 26 기,2025,147080
연결 손익계산서,"매출원가",제 26 기,2025,124195
연결 손익계산서,"매출총이익",제 26 기,2025,22885
연결 손익계산서,"판매비와관리비",제 26 기,2025,28719
연결 손익계산서,"영업이익(손실)",제 26 기,2025,-5835
연결 손익계산서,"기타수익(비용)",제 26 기,2025,1829
연결 손익계산서,"지분법손익",제 26 기,2025,149
연결 손익계산서,"금융수익(비용)",제 26 기,2025,-4345
연결 손익계산서,"법인세차감전순이익(비용)",제 26 기,2025,-8202
연결 손익계산서,"법인세비용(수익)",제 26 기,2025,2551
연결 손익계산서,"당기순이익(손실)",제 26 기,2025,-10753
연결 손익계산서,"매출액",제 25 기,2024,200156
연결 손익계산서,"매출원가",제 25 기,2024,168493
연결 손익계산서,"매출총이익",제 25 기,2024,31663
연결 손익계산서,"판매비와관리비",제 25 기,2024,28302
연결 손익계산서,"영업이익(손실)",제 25 기,2024,3361
연결 손익계산서,"기타수익(비용)",제 25 기,2024,860
연결 손익계산서,"금융수익(비용)",제 25 기,2024,-1988
연결 손익계산서,"법인세차감전순이익(비용)",제 25 기,2024,2233
연결 손익계산서,"법인세비용(수익)",제 25 기,2024,-524
연결 손익계산서,"당기순이익(손실)",제 25 기,2024,2757
연결 손익계산서,"매출액",제 24 기,2023,235952
연결 손익계산서,"매출원가",제 24 기,2023,196928
연결 손익계산서,"매출총이익",제 24 기,2023,39024
연결 손익계산서,"판매비와관리비",제 24 기,2023,23510
연결 손익계산서,"영업이익(손실)",제 24 기,2023,15514
연결 손익계산서,"기타수익(비용)",제 24 기,2023,-604
연결 손익계산서,"금융수익(비용)",제 24 기,2023,-620
연결 손익계산서,"법인세차감전순이익(비용)",제 24 기,2023,14290
연결 손익계산서,"법인세비용(수익)",제 24 기,2023,2222
연결 손익계산서,"당기순이익(손실)",제 24 기,2023,12068
연결 손익계산서,"매출액",제 23 기,2022,79393
연결 손익계산서,"매출원가",제 23 기,2022,66472
연결 손익계산서,"매출총이익",제 23 기,2022,12921
연결 손익계산서,"판매비와관리비",제 23 기,2022,15435
연결 손익계산서,"영업이익(손실)",제 23 기,2022,-2514
연결 손익계산서,"기타수익(비용)",제 23 기,2022,76
연결 손익계산서,"금융수익(비용)",제 23 기,2022,-108
연결 손익계산서,"법인세차감전순이익(비용)",제 23 기,2022,-2546
연결 손익계산서,"법인세비용(수익)",제 23 기,2022,-864
연결 손익계산서,"당기순이익(손실)",제 23 기,2022,-1682
연결 손익계산서,"매출액",제 22 기,2021,61532
연결 손익계산서,"매출원가",제 22 기,2021,54869
연결 손익계산서,"매출총이익",제 22 기,2021,6663
연결 손익계산서,"판매비와관리비",제 22 기,2021,11490
연결 손익계산서,"영업이익(손실)",제 22 기,2021,-4827
연결 손익계산서,"기타수익(비용)",제 22 기,2021,268
연결 손익계산서,"금융수익(비용)",제 22 기,2021,1010
연결 손익계산서,"법인세차감전순이익(비용)",제 22 기,2021,-3549
연결 손익계산서,"법인세비용(수익)",제 22 기,2021,-2266
연결 손익계산서,"당기순이익(손실)",제 22 기,2021,-1283
